Nome Completo;Nome Urna;Cargo;Número;Partido
EDMILSON SOUZA SANTOS;EDMILSON;Deputado Estadual;50600;PSOL
EDMIR JOSE ABI CHEDID;EDMIR CHEDID;Deputado Estadual;44118;UNIÃO
EDNA DA SILVA DELLA NINA;EDNA DELLA NINA / COL SOMA;Deputado Estadual;13444;PT
EDNA BEZERRA SAMPAIO FERNANDES;EDNA MACEDO;Deputado Estadual;10456;REPUBLICANOS
EDNA PENHA DA SILVA;EDNA PENHA;Deputado Estadual;40021;PSB
EDNA MARIA VERTELLO SILVA;EDNA VERTELLO;Deputado Estadual;10030;REPUBLICANOS
EDNEI APARECIDO VALENCIO;EDNEI VALENCIO;Deputado Estadual;70987;AVANTE
EDNELSON PACHECO FERREIRA;EDNELSON CHAPA ESPERANÇA E FÉ;Deputado Estadual;12999;PDT
EDNEY BENEDITO SAMPAIO DUARTE JÚNIOR;EDNEY DUARTE JR;Deputado Estadual;30000;NOVO
EDSON NASCIMENTO DE OLIVEIRA;EDSON BENFICA;Deputado Estadual;77444;SOLIDARIEDADE
EDSON ELIAS KHOURI;EDSON CURY;Deputado Estadual;40140;PSB
EDSON FERREIRA DE JESUS;EDSON FERREIRA;Deputado Estadual;90998;PROS
EDSON DE OLIVEIRA GIRIBONI;EDSON GIRIBONI;Deputado Estadual;44001;UNIÃO
EDSON TEIXEIRA;EDSON JAPÃO;Deputado Estadual;30333;NOVO
EDSON MORO JUNIOR;EDSON MORO;Deputado Estadual;90050;PROS
EDSON FLORINDO PEREIRA;EDSON PC;Deputado Estadual;40077;PSB
EDSON ANTONIO DE SOUZA;EDSON PERU;Deputado Estadual;10022;REPUBLICANOS
EDSON PIRES SALOMÃO;EDSON SALOMÃO;Deputado Estadual;10700;REPUBLICANOS
EDUARDO ALMEIDA PERES;EDU PERES;Deputado Estadual;30301;NOVO
EDUARDO APARECIDO ALEIXO;EDUARDO ALEIXO;Deputado Estadual;51800;PATRIOTA
EDUARDO OLIVEIRA DE ARAUJO;EDUARDO ARAÚJO;Deputado Estadual;11877;PP
LUIZ EDUARDO PENTEADO BORGO;EDUARDO BORGO;Deputado Estadual;35007;PMB
EDUARDO DIAS DE BRITO;EDUARDO CABELEIREIRO;Deputado Estadual;51321;PATRIOTA
EDUARDO JOSE CORNELIO DE OLIVEIRA;EDUARDO CORNELIO;Deputado Estadual;35016;PMB
EDUARDO JOAQUIM DE OLIVEIRA;EDUARDO DE OLIVEIRA;Deputado Estadual;90020;PROS
EDUARDO LUIZ;EDUARDO FERREIRA;Deputado Estadual;40256;PSB
EDUARDO DOS REIS MAGOGA;EDUARDO MAGOGA;Deputado Estadual;19519;PODE
EDUARDO NASCIMENTO;EDUARDO NASCIMENTO;Deputado Estadual;40150;PSB
CARLOS EDUARDO PLACUCCI;EDUARDO PLACUCCI;Deputado Estadual;70008;AVANTE
CARLOS EDUARDO RICATTO;EDUARDO RICATTO;Deputado Estadual;11110;PP
JOSÉ EDUARDO DOS SANTOS;EDUARDO SANTOS;Deputado Estadual;19577;PODE
EDUARDO SILVA NICOLAU DE SOUZA;EDUARDO SILVA;Deputado Estadual;77744;SOLIDARIEDADE
EDUARDO MATARAZZO SUPLICY;EDUARDO SUPLICY;Deputado Estadual;13133;PT
CARLOS EDUARDO THOMAZ PEDROSO;EDUARDO THOMAZ;Deputado Estadual;22556;PL
EDVALDO XAVIER CAVALCANTI;EDVALDO XAVIER CAVALCANTI;Deputado Estadual;44873;UNIÃO
EDVAN LIMA BARBOSA;EDVAN DA BANCADA TEMPLÁRIA;Deputado Estadual;35083;PMB
EFANEU NOLASCO GODINHO;EFANEU;Deputado Estadual;55456;PSD
EIDA SILVA DOS SANTOS AZEVEDO;EIDA AZEVEDO;Deputado Estadual;15600;MDB
MARIA APARECIDA BORGES DE MACEDO;EKED CIDA;Deputado Estadual;19775;PODE
ELAINE CRISTINA RODRIGUES;ELAINE;Deputado Estadual;70990;AVANTE
ELAINE CRISTINA PUPE DE MORAIS;ELAINE PUPE;Deputado Estadual;35259;PMB
ELENICE MARIA DE OLIVEIRA;ELENICE OLIVEIRA;Deputado Estadual;90912;PROS
ELIANA PAULA CARETI;ELIANA CARETI;Deputado Estadual;44080;UNIÃO
ELIANA CONRADO GOTTSFRITZ FERNANDES;ELIANA GOTTSFRITZ;Deputado Estadual;19197;PODE
ELIANA CRISTINA DA SILVA PASCON;ELIANA PASCON;Deputado Estadual;51566;PATRIOTA
ELIANA SÃO ROQUE MARTINS;ELIANA SÃO ROQUE;Deputado Estadual;35931;PMB
ELIANE MARIA DE SANTANA OLIVEIRA;ELIANE SANTANA;Deputado Estadual;20015;PSC
ELIAS DOS SANTOS BITENCOURT;ELIAS BITENCOURT;Deputado Estadual;36051;AGIR
ELIEZER ALMEIDA GUIMARÃES;ELIAS PSOL;Deputado Estadual;50517;PSOL
ELISANGELA ALCANTARA DA SILVA GONZALEZ;ELIS GONZALEZ;Deputado Estadual;11321;PP
ELISÂNGELA VENTURA ROCHA;ELIS ROCHA;Deputado Estadual;19313;PODE
ELISANDRA APARECIDA DA SILVA RODRIGUES DE ALMEIDA;ELISANDRA ALMEIDA;Deputado Estadual;27220;DC
ELISANDRA PEDROSO FERREIRA;ELISANDRA SILVESTRE;Deputado Estadual;40044;PSB
ÉLITON SOUSA LEITE;ÉLITON LEITE MANDARAÍ;Deputado Estadual;10222;REPUBLICANOS
ELISANGELA VALINHO QUEIROZ DOS SANTOS;ELIZANGELA QUEIROZ;Deputado Estadual;35551;PMB
ELIZEU RODRIGUES VARELA;ELIZEU VARELA;Deputado Estadual;36016;AGIR
ELLEN CRISTINA DE MORAES;ELLEN PRATA;Deputado Estadual;77059;SOLIDARIEDADE
ELOÁ IZILDA OLIVEIRA;ELO OLIVEIRA;Deputado Estadual;90091;PROS
ELTON CARVALHO PORTO;ELTON CARVALHO;Deputado Estadual;10192;REPUBLICANOS
ELVIO FERNANDEZ GONZALEZ;ELVIO FERNANDEZ;Deputado Estadual;40050;PSB
ELZA DIAS AMARO;ELZA DIAS;Deputado Estadual;20003;PSC
EMERSON PEREIRA BATISTA;EMERSON CONSTRUTOR;Deputado Estadual;14250;PTB
EMERSON FRACAROLI;EMERSON DÊ;Deputado Estadual;19070;PODE
EMERSON MARCIO VITALINO;EMERSON OSASCO;Deputado Estadual;18123;REDE
EMERSON ZOCCHI;EMERSON ZOCCHI;Deputado Estadual;28008;PRTB
EMIDIO PEREIRA DE SOUZA;EMÍDIO DE SOUZA;Deputado Estadual;13131;PT
ANTÔNIO EMÍDIO DE MORAIS;EMÍDIO ZÉ DA BOTA;Deputado Estadual;55121;PSD
EMÍLIO CARPANEZ FILHO;EMÍLIO CARPANEZ;Deputado Estadual;51773;PATRIOTA
EMILIO CURY JUNIOR;EMILIO CURY;Deputado Estadual;30100;NOVO
EMMERSON DE CAMARGO;EMMERSON CAMARGO;Deputado Estadual;40033;PSB
ENEAS SILVA FERREIRA SALES;ENEAS SALES;Deputado Estadual;35553;PMB
ADRIANA DO PRADO OLIVEIRA;ENFERMEIRA ADRIANA;Deputado Estadual;27700;DC
ALEXANDRA DOS SANTOS MOTA;ENFERMEIRA ALEXANDRA MOTA;Deputado Estadual;77073;SOLIDARIEDADE
CINTIA ROBERTA SILVA RODRIGUES;ENFERMEIRA CINTIA;Deputado Estadual;15770;MDB
JAQUELINE DA SILVA LIRA ARRUDA;ENFERMEIRA JAQUELINE LIRA;Deputado Estadual;44800;UNIÃO
JOANA DARQUE DA PAZ;ENFERMEIRA JOANA PAZ;Deputado Estadual;43090;PV
ROSEMARA LEANDRO DA SILVA;ENFERMEIRA MARA LEANDRO;Deputado Estadual;35107;PMB
CARLOS LUIS GUERRA DE LIMA;ENFERMEIRO GUERRA;Deputado Estadual;36075;AGIR
MICHAEL DE ALENCAR ALVES;ENFERMEIRO MICHAEL;Deputado Estadual;14333;PTB
DANIEL ROSSI;ENG DANIEL ROSSI;Deputado Estadual;22789;PL
GILBERTO MEGDA;ENG. GILBERTO MEGDA;Deputado Estadual;14020;PTB
JOSÉ CARLOS CASARINI;ENGENHEIRO CASARINI;Deputado Estadual;11780;PP
JOSE APARECIDO ROSA FILHO;ENGENHEIRO CIDO;Deputado Estadual;28148;PRTB
DANIEL PLANA BOGALHO;ENGENHEIRO DANIEL;Deputado Estadual;10870;REPUBLICANOS
GETULIO DE SOUSA SANTOS;ENGENHEIRO GETULIO;Deputado Estadual;28419;PRTB
JUAREZ PEREIRA DIAS;ENGENHEIRO JUAREZ DIAS;Deputado Estadual;28780;PRTB
RAFAEL POSTIGO MAZZALI;ENGENHEIRO POSTIGO;Deputado Estadual;45321;PSDB
ROBERTO MONTEIRO;ENGENHEIRO ROBERTO MONTEIRO;Deputado Estadual;40670;PSB
ENID KREBSKY DE CARVALHO;ENID KREBSKY;Deputado Estadual;20297;PSC
ENIO FRANCISCO TATTO;ENIO TATTO;Deputado Estadual;13114;PT
ENOC MANOEL DE SANTANA;ENOC SANTANA;Deputado Estadual;50563;PSOL
ENZO LEONARDO SUZIN MOMENTI;ENZUH;Deputado Estadual;90202;PROS
ERALDO NUNES GALDINO;ERALDO;Deputado Estadual;35469;PMB
ERIKA TEREZA COITINHO AFFONSO;ERIKÃO;Deputado Estadual;45688;PSDB
ERIVELTON PEREIRA RAMOS;ERIVELTON RAMOS (SID);Deputado Estadual;18188;REDE
ERNESTO TEIXEIRA DA CUNHA;ERNESTO TEIXEIRA;Deputado Estadual;15910;MDB
ESTELA ALEXANDRE ALMAGRO;ESTELA ALMAGRO;Deputado Estadual;13258;PT
ESTER COSCARELLI DOMINGUES;ESTER COSCARELLI;Deputado Estadual;19009;PODE
VALTER ESTEVAM;ESTEVAM;Deputado Estadual;27666;DC
EUGÊNIO MIRANDA;EUGÊNIO MIRANDA;Deputado Estadual;12156;PDT
IVÂNGELA PEREIRA LOURENÇO;EVANGELA;Deputado Estadual;27111;DC
IVAN CARLOS CONSTANTINO DE OLIVEIRA;EVANGELISTA IVAN CARLOS;Deputado Estadual;33240;PMN
EVELLYN JULIANA DA SILVA;EVELLYN SILVA;Deputado Estadual;11040;PP
EVELYN SILVA DO NASCIMENTO VICENTE DA SILVA;EVELYN DO PT;Deputado Estadual;13112;PT
EVERTON REZENDE BELASCO;EVERTON BELASCO;Deputado Estadual;28879;PRTB
EVERTON LUIZ FERNANDES SODARIO RAIMUNDO;EVERTON SODARIO;Deputado Estadual;51051;PATRIOTA
FABIANA TAYANE MEDRADO DA CRUZ;FABI MEDRADO;Deputado Estadual;21100;PCB
FABIA DA SILVA PORTO;FÁBIA PORTO;Deputado Estadual;11001;PP
FABIAN ALVES RAMOS;FABIAN RAMOS;Deputado Estadual;28528;PRTB
FABIANA DE LIMA BARROSO;FABIANA B.;Deputado Estadual;22051;PL
FABIANA APARECIDA BRITO ERNANE;FABIANA BRITO;Deputado Estadual;51023;PATRIOTA
FABIANO GABRIEL CARVALHO SILVA;FABIANO CARVALHO;Deputado Estadual;28038;PRTB
FABIANO DA SILVA MONTEIRO;FABIANO MONTEIRO;Deputado Estadual;36700;AGIR
FABIO ROGERIO FAGUNDES;FABINHO FAGUNDES;Deputado Estadual;11245;PP
FABIO ADONIS PEREIRA;FABIO ADONIS;Deputado Estadual;40199;PSB
FABIO DUARTE;FABIO DUARTE;Deputado Estadual;19762;PODE
FABIO DUARTE JOANA;FÁBIO DUARTE DO POVO;Deputado Estadual;44070;UNIÃO
FABIO FEREZINI;FABIO FEREZINI;Deputado Estadual;70120;AVANTE
FÁBIO ANDRÉ CAPUTO FERRACINI;FÁBIO FERRACINI;Deputado Estadual;19209;PODE
FÁBIO CESAR FERREIRA;FÁBIO JABÁ;Deputado Estadual;40111;PSB
FABIO MARTINS BELARMINO;FÁBIO MARTINS;Deputado Estadual;51235;PATRIOTA
FABIO SANTOS DE OLIVEIRA;FABIO SANTOS;Deputado Estadual;20122;PSC
FABIO LEANDRO CARDOSO TEIXEIRA;FABIO TEIXEIRA;Deputado Estadual;19234;PODE
FABIO DE CAMARGO TELLES;FÁBIO TELLES;Deputado Estadual;10107;REPUBLICANOS
FABIOLA TATCHER MARTINS RODA;FABÍOLA TATCHER;Deputado Estadual;23131;CIDADANIA
FAOUAZ TAHA;FAOUAZ TAHA;Deputado Estadual;45011;PSDB
FÁBIO FARIAS DE SÁ;FARIA DE SÁ;Deputado Estadual;19252;PODE
FABRIZIO FASANO JUNIOR;FASANO;Deputado Estadual;22808;PL
MARIA DE FÁTIMA ALVES BARBOSA;FÁTIMA BARBOSA;Deputado Estadual;22070;PL
MARIA DE FÁTIMA SILVA;FÁTIMA DA LANCHONETE;Deputado Estadual;11377;PP
FATIMA NASCIMENTO ALEXANDRE;FATIMA DO CHURRASQUINHO;Deputado Estadual;35667;PMB
FELIPE CARMONA CANTERA;FELIPE CARMONA;Deputado Estadual;22008;PL
FELIPE SOUZA MURAKAMI DE FRANCO;FELIPE FRANCO;Deputado Estadual;44007;UNIÃO
FELIPE TALVANI SONTINI;FELIPE TALVANI;Deputado Estadual;20100;PSC
FELIPPE LOURENÇO OLIVEIRA COELHO;FELIPPE LOURENÇO;Deputado Estadual;44009;UNIÃO
JOSE MARIA FELIX;FELIX DO SINDICATO;Deputado Estadual;77234;SOLIDARIEDADE
FERNANDA APARECIDA GOMES DA SILVA CAETANO;FERNANDA CAETANO;Deputado Estadual;28025;PRTB
FERNANDA MORENO DA SILVA;FERNANDA MORENO;Deputado Estadual;15555;MDB
JOSE FERNANDES DE OLIVEIRA BARBOSA;FERNANDO BARBOSA;Deputado Estadual;36030;AGIR
FERNANDO HENRIQUE CURY;FERNANDO CURY;Deputado Estadual;44456;UNIÃO
FERNANDO CESAR RAMOS;FERNANDO DA ÓTICA ORIGINAL;Deputado Estadual;11012;PP
FERNANDO FERREIRA DE QUEIROZ;FERNANDO DE QUEIROZ;Deputado Estadual;51525;PATRIOTA
FERNANDO GALVAO MOURA;FERNANDO GALVÃO;Deputado Estadual;44025;UNIÃO
FERNANDO TAVARES ARAÚJO DA SILVA;FERNANDO GANJA COLETIVA;Deputado Estadual;50420;PSOL
FERNANDO ROCHA GARCIA;FERNANDO GARCIA;Deputado Estadual;20520;PSC
FERNANDO HENRIQUE GOMES DA SILVA;FERNANDO HENRIQUE;Deputado Estadual;51451;PATRIOTA
FERNANDO DOS SANTOS MOURA;FERNANDO MOURA;Deputado Estadual;12112;PDT
FERNANDO SIQUEIRA MUNIZ;FERNANDO MUNIZ;Deputado Estadual;11800;PP
FERNANDO MARTINS DOS SANTOS;FERNANDO PEITOLA;Deputado Estadual;15222;MDB
FERNANDO LUIZ ISOPPO PETITI;FERNANDO PETITI;Deputado Estadual;15605;MDB
FERNANDO SOUZA PUGA;FERNANDO PUGA;Deputado Estadual;13130;PT
FERNANDO RAMOS;FERNANDO RAMOS;Deputado Estadual;15130;MDB
FERNANDO SOARES RIBEIRO;FERNANDO RIBEIRO;Deputado Estadual;27033;DC
FERNANDO PEREIRA SIRCHIA JUNIOR;FERNANDO SIRCHIA;Deputado Estadual;12500;PDT
LEANDRO FERREIRA FELICIANO;FERREIRA;Deputado Estadual;28285;PRTB
FLEITAS FIDELES MONTEIRO;FIDELES;Deputado Estadual;10600;REPUBLICANOS
ARLINDO PEREIRA FIGUEIREDO JUNIOR;FIGUEIREDO FIGUEIREDO;Deputado Estadual;35022;PMB
ROBERTO FIGUEIREDO JUNIOR;FIGUEIREDO JUNIOR;Deputado Estadual;28633;PRTB
TIAGO FINESSI;FINA FINESSI;Deputado Estadual;22212;PL
FLÁVIA REGINA ROMANI;FLÁ ROMANI;Deputado Estadual;55007;PSD
FLAVIA MENDES GOMES;FLÁVIA MENDES;Deputado Estadual;44450;UNIÃO
FLÁVIA APARECIDA RODRIGUES;FLÁVIAH RODDRIGUES;Deputado Estadual;12101;PDT
FLÁVIO SPINUCCI JUNIOR;FLAVINHO SPINUCCI;Deputado Estadual;45040;PSDB
FLAVIO RICARDO BEALL;FLAVIO BEALL;Deputado Estadual;14222;PTB
FLAVIO AUGUSTO OLMOS;FLAVIO OLMOS;Deputado Estadual;11023;PP
FLORDINICE PINHEIRO;FLOR PINHEIRO;Deputado Estadual;40537;PSB
ANTONIO JOSE FERREIRA;FORRÓ;Deputado Estadual;28014;PRTB
FRANCISCA PEREIRA DA ROCHA SEIXAS;FRANCISCA BANCADA DA EDUCAÇÃO;Deputado Estadual;65658;PC do B
FRANCISCO HORWATH NETO;FRANCISCO NETO;Deputado Estadual;33010;PMN
FRANCISCO SEVERIANO DA SILVA;FRANCISCO SEVERIANO;Deputado Estadual;28003;PRTB
FREDERICH GERALDO MARTINS;FRED MARTINS;Deputado Estadual;20800;PSC
EQUIMARCILIAS DE SOUZA FREIRE;FREIRE;Deputado Estadual;51210;PATRIOTA
ALEXANDRE FROTA DE ANDRADE;FROTA;Deputado Estadual;45777;PSDB
JOSÉ FRANCISCO GALDINO DE CARVALHO;FUBÁ DO DEPÓSITO;Deputado Estadual;11300;PP
GABRIELA VARGAS SABINO;GABI SABINO;Deputado Estadual;40222;PSB
GABRIEL BELÉM DOS SANTOS;GABRIEL BELÉM;Deputado Estadual;40120;PSB
GABRIEL SILVA GOMES;GABRIEL DA PROTECHTOR;Deputado Estadual;14441;PTB
GABRIEL PINELLI FERRAZ;GABRIEL PINELLI;Deputado Estadual;19119;PODE
GABRIEL COSTA PLACCE;GABRIEL PLACCE;Deputado Estadual;12022;PDT
GABRIEL VIGHY DE CARVALHO;GABRIEL TAVARES;Deputado Estadual;21000;PCB
JORGE GABRIEL GRASI;GABRIEL THOR;Deputado Estadual;19030;PODE
GABRIELY DE LISIEUX LIMA BARBOSA;GABY DUARTHE;Deputado Estadual;33017;PMN
SERGIO MATHEUS SANTOS GARCEZ;GARCEZ;Deputado Estadual;22221;PL
GARRY DERALUS;GARRY DO POVO;Deputado Estadual;13100;PT
RODRIGO DE PAULA RUIS;GCM RUIZÃO;Deputado Estadual;11334;PP
GENILDO RODRIGUES CASTRO;GENILDO CASTRO;Deputado Estadual;33105;PMN
GENTIL ALVES DOS SANTOS NETO;GENTIL VIGILANTE;Deputado Estadual;36541;AGIR
GENTIL ALVES DOS SANTOS NETO;GENTIL VIGILANTE;Deputado Estadual;36541;AGIR
GEORGE VATUTIN HATO;GEORGE HATO;Deputado Estadual;15622;MDB
GEORGES HABIB JARROUGE;GEORGES HABIB;Deputado Estadual;77147;SOLIDARIEDADE
GERALDO FERREIRA COSTA FILHO;GERALDO DA CARNE;Deputado Estadual;70021;AVANTE
GERALDO PEREIRA FILHO;GERALDO GERALDINHO;Deputado Estadual;33222;PMN
GERALDO APARECIDO MENDES;GERALDO MENDES;Deputado Estadual;14789;PTB
GERALDO ANTÔNIO DA NÓBREGA;GERALDO NÓBREGA;Deputado Estadual;40020;PSB
GERALDO NUNES REIS;GERALDO NUNES;Deputado Estadual;77156;SOLIDARIEDADE
GERALDO DO NASCIMENTO;GERALDO POTIGUAR DO NASCIMENTO;Deputado Estadual;50085;PSOL
GERALDO RIBEIRO GUIMARÃES NETO;GERALDO RIBEIRO AQUI TEM LUTA;Deputado Estadual;40026;PSB
GERSON BARBOSA DE SOUSA;GERSON DOS TROFÉUS;Deputado Estadual;65012;PC do B
GERSON DIAS PESSOA;GERSON PESSOA;Deputado Estadual;19019;PODE
GERSON DOS SANTOS PIRES;GERSON PIRES;Deputado Estadual;19111;PODE
GIANE DA SILVA FERREIRA;GIANE FERREIRA;Deputado Estadual;28328;PRTB
GILBERTO APARECIDO BORGES;GIBA;Deputado Estadual;12122;PDT
GILDEVANIO ILSO DOS SANTOS DINIZ;GIL DINIZ;Deputado Estadual;22120;PL
GILBERTO MARQUES DO COUTO;GILBERTO BOMBA;Deputado Estadual;14006;PTB
ANTONIO GILBERTO DA SILVA;GILBERTO BRAW;Deputado Estadual;70770;AVANTE
GILBERTO SANTOS SILVA DE VASCONCELOS;GILBERTO CELULAR;Deputado Estadual;20018;PSC
GILBERTO SOARES PINHEIRO;GILBERTO PINHEIRO;Deputado Estadual;14700;PTB
GIRLENIO GOMES DE OLIVEIRA;GILENO GOMES;Deputado Estadual;51999;PATRIOTA
GILMACI DOS SANTOS BARBOSA;GILMACI SANTOS;Deputado Estadual;10123;REPUBLICANOS
GILMAR BORGES DE ALMEIDA;GILMAR ALMEIDA;Deputado Estadual;70313;AVANTE
GILMAR DIAS PEREIRA;GILMAR DIAS;Deputado Estadual;33112;PMN
GILMAR RAIMUNDO LUCAS;GILMAR LUCAS DO SOCIAL;Deputado Estadual;15100;MDB
GILMAR FERNANDES DE MELO;GILMAR MELO;Deputado Estadual;12422;PDT
GILMAR DE SOUZA ROCHA;GILMAR ROCHA;Deputado Estadual;35188;PMB
GILMAR SOUZA DOS SANTOS;GILMAR SOUZA;Deputado Estadual;10789;REPUBLICANOS
GILMAR VAZ DA ROCHA;GILMAR TUIUIU DA PIZZARIA TUIU;Deputado Estadual;36361;AGIR
GILSON DE SOUZA;GILSON DE SOUZA;Deputado Estadual;10122;REPUBLICANOS
GILVANIA MEDEIROS DE OLIVEIRA;GILVANIA MEDEIROS;Deputado Estadual;44556;UNIÃO
ANTONIO GINACK JUNIOR;GINACK JUNIOR;Deputado Estadual;22822;PL
GIOVANA LIMA DE AGUIAR;GIOVANA AGUIAR;Deputado Estadual;14456;PTB
GIOVANNA GUIMARÃES TRIPOLI VON USLAR;GIOVANNA TRIPOLI;Deputado Estadual;45145;PSDB
GISELE CASARIN DA SILVA;GISELE CASARIN;Deputado Estadual;33334;PMN
GISELE APARECIDA DA SILVA RAMOS;GISELE RAMOS;Deputado Estadual;44150;UNIÃO
GISELE CRISTINA DOS SANTOS SILVA;GISELE SILVA;Deputado Estadual;36712;AGIR
GIULIANO GRISO;GIULIANO GRISO;Deputado Estadual;15151;MDB
FERNANDA DA GLÓRIA GOMES;GLÓRIA GOMES;Deputado Estadual;15017;MDB
GLORIAMAR JACINTHO;GLORIA JACINTHO;Deputado Estadual;90800;PROS
MARIA DA GLORIA IBARRA DOS REIS;GLORIA YBARRA;Deputado Estadual;90033;PROS
JONEIDE GOMES LOPES;GOMES LOPES;Deputado Estadual;70440;AVANTE
LUIZ CARLOS GONDIM TEIXEIRA;GONDIM;Deputado Estadual;44700;UNIÃO
MARIA GORETE DA SILVA;GORETE SILVA;Deputado Estadual;77134;SOLIDARIEDADE
GRACE LAINE PINCERATO CARREIRA DINI;GRACE CARREIRA;Deputado Estadual;40167;PSB
PAULINA ROSA DE SOUZA JACINTO;GRETE COVER A PAULINA;Deputado Estadual;33199;PMN
OLIVIO AUGUSTO FREITAS CHAVES;GÚ DO BARDOGÚ;Deputado Estadual;44123;UNIÃO
GUILHERME DA COSTA AGUIAR CORTEZ;GUILHERME CORTEZ;Deputado Estadual;50005;PSOL
GUILHERME ANDREW GONÇALVES DA SILVA;GUILHERME GONÇALVES;Deputado Estadual;19333;PODE
GUILHERME CESAR ZAFANI;GUILHERME ZAFANI;Deputado Estadual;14123;PTB
ANDERSON GUIMARÃES DE ALMEIDA;GUIMARÃES ALMEIDA;Deputado Estadual;35999;PMB
JOSE GUSTAVO DUARTE DE ARAÚJO;GUSTAVO ARAÚJO;Deputado Estadual;22433;PL
CÉSAR AUGUSTO JOSÉ;GUTO JOSÉ;Deputado Estadual;19619;PODE
AUGUSTO ZACARIAS CORREA LEITE;GUTO ZACARIAS;Deputado Estadual;44777;UNIÃO
HARLLEM GONÇALVES DE OLIVEIRA;HARLLEM GONÇALVES;Deputado Estadual;23011;CIDADANIA
HEITOR ROBERTO TOMMASINI;HEITOR TOMMASINI;Deputado Estadual;36936;AGIR
HELENA IZABEL DA SILVA GOMES;HELENA GOMES;Deputado Estadual;20422;PSC
HELENA NOBUCO SUZUKI TAKADACHI;HELENA SUZUKI;Deputado Estadual;36500;AGIR
HELIO DONIZETE ZANATTA;HELINHO ZANATTA;Deputado Estadual;20123;PSC
HELIO VIEIRA MALHEIROS JUNIOR;HÉLIO MALHEIROS;Deputado Estadual;44110;UNIÃO
HELIO GERALDO RAMOS JUNIOR;HELIO RAMOS;Deputado Estadual;10003;REPUBLICANOS
CARLOS HENRIQUE SILVESTRE GARZON;HENRIQUE GARZON;Deputado Estadual;19490;PODE
HENRIQUE GOMES DE LIMA;HENRIQUE GOMES O BABY;Deputado Estadual;11567;PP
HENRIQUE LOPES SILVA;HENRIQUE LOPES;Deputado Estadual;19565;PODE
HENRIQUE MAGALHÃES TEIXEIRA;HENRIQUE MAGALHÃES TEIXEIRA;Deputado Estadual;30730;NOVO
HERIVELTO DOS SANTOS MORAES;HERIVELTO VELA;Deputado Estadual;13321;PT
HIGOR DIEGO RALLA;HIGOR DIEGO;Deputado Estadual;10200;REPUBLICANOS
HONÓRIO MARQUES DA SILVA;HONNO CAHON;Deputado Estadual;18800;REDE
HUGO MOREIRA SANTOS;HUGO SANTOS DE MARIA;Deputado Estadual;15001;MDB
IARA FRANCISCA DOS SANTOS;IARA SANTOS;Deputado Estadual;10055;REPUBLICANOS
IEDA MARIA NOGUEIRA SILVA;IEDA MARIA;Deputado Estadual;28300;PRTB
JOSEMAR CARLOS DE OLIVEIRA;ÍNDIO VIGILANTE;Deputado Estadual;36400;AGIR
INÊS PAZ;INÊS PAZ;Deputado Estadual;50050;PSOL
MARIA INES PINTO DE OLIVEIRA SANTIAGO;INÊS SANTIAGO;Deputado Estadual;44002;UNIÃO
INES REGINA SCISCI MACIEL;INES SCISCI;Deputado Estadual;51011;PATRIOTA
INGRID DE MENDONÇA RIBEIRO;INGRID MENDONÇA;Deputado Estadual;35450;PMB
DAVI CICHETTO DE MORAES;INSTRUTOR DAVI;Deputado Estadual;33300;PMN
FRANCISLEY ILDECIR RODRIGUES;INSTRUTOR RODRIGUES;Deputado Estadual;51132;PATRIOTA
FRANCISCO MARCOS IRAN AQUINO ROLIM;IRAN ROLIM;Deputado Estadual;70200;AVANTE
IRAPUAN AUGUSTO PEDRO;IRAPUAN;Deputado Estadual;29429;PCO
IRENILDE APARECIDA JULIANI DA SILVA;IRE JULIANI;Deputado Estadual;55355;PSD
IRENILDO ELIAS BARBOSA;IRENILDO;Deputado Estadual;33234;PMN
ELOIZA PEREIRA CORREIA;IRMÃ ELOIZA;Deputado Estadual;11490;PP
OZELITO JOSÉ BENEDITO;IRMÃO OZELITO;Deputado Estadual;20120;PSC
ANTONIO CARLOS DOS SANTOS;IRMÃO SANTOS;Deputado Estadual;36322;AGIR
ISABEL CRISTINA DA SILVA MARCELINO VIEIRA;ISABEL MARCELINO;Deputado Estadual;45019;PSDB
ISABELA RODAS MESSIAS;ISABELA RAHAL;Deputado Estadual;40001;PSB
ISAC FELIX DOS SANTOS;ISAC FÉLIX;Deputado Estadual;22678;PL
ISMAEL DA SILVA SOUZA;ISMAEL PINTOR;Deputado Estadual;36220;AGIR
ISRAEL ALEXANDRE DE SOUZA;ISRAEL ALEXANDRE;Deputado Estadual;45045;PSDB
ISRAEL BEZERRA DA SILVA;ISRAEL SCHUMARKER;Deputado Estadual;70022;AVANTE
ISTÊNIO VIANA MELLO;ISTÊNIO MELLO;Deputado Estadual;18109;REDE
ITAMAR FRANCISCO MACHADO BORGES;ITAMAR BORGES;Deputado Estadual;15300;MDB
IVAN APARECIDO DOS SANTOS;IVAN DO UBER;Deputado Estadual;90001;PROS
IVAN PAULO PEREIRA DA SILVA;IVAN PAULO;Deputado Estadual;30016;NOVO
IVAN RIBEIRO DE BRITO;IVAN RIBEIRO O GUERREIRO;Deputado Estadual;15700;MDB
IVETA DE SOUZA ALVES;IVETA SOUZA;Deputado Estadual;22057;PL
IVONE FERNANDES DIAS DO NASCIMENTO;IVONE FERNANDES;Deputado Estadual;45002;PSDB
IVONE MOREIRA SANTOS;IVONE SANTOS;Deputado Estadual;15432;MDB
