Nome Completo;Nome Urna;Cargo;Número;Partido
LINDINALVA DO CARMO LIMA;NALVA LIMA;Deputado Federal;1236;PDT
FERNANDO PINHEIRO;NANDO PINHEIRO;Deputado Federal;2223;PL
INES NANY RODRIGUES DA SILVA;NANY;Deputado Federal;4443;UNIÃO
GREICE NAOMI YAMAGUCHI;NAOMI YAMAGUCHI;Deputado Federal;9021;PROS
NATÁLIA ROBERTA MASSI SOLERA;NATÁLIA MASSI;Deputado Federal;7072;AVANTE
NATANAEL RODRIGUES DE PAULA;NATANAEL DE PAULO;Deputado Federal;3670;AGIR
ROSNAY LUCAS BERNARDES;NAY BERNARDES;Deputado Federal;9039;PROS
NAZARÉ BATISTA BRAGA;NAZARÉ BRAGA;Deputado Federal;4078;PSB
NEFI ANTONIO CASTRO TALES;NEFI TALES FILHO;Deputado Federal;1434;PTB
ELISANGELA VIEIRA FERREIRA;NEGA;Deputado Federal;5104;PATRIOTA
JACKSON HENRIQUE DE SOUZA;NEGO JACKSON;Deputado Federal;5147;PATRIOTA
SIVONEI DOS SANTOS CORREIA;NEI CORREIA;Deputado Federal;3301;PMN
LUCINEIA FERREIRA SANTOS COSTA;NEIA COSTA;Deputado Federal;1209;PDT
SIONEIA APARECIDA DE MELLO;NEIA MELLO;Deputado Federal;3660;AGIR
LUSINEIDE NEVES BARRETO;NEIDOCA DE HELIÓPOLIS;Deputado Federal;4416;UNIÃO
NEMIAS DA SILVA MOREIRA;NEMIAS MOREIRA;Deputado Federal;3512;PMB
OSWALDO MARQUES CERA FILHO;NENE CERA;Deputado Federal;1155;PP
MARIA DAS GRAÇAS PATRÍCIO;NENÊ NOIVAS;Deputado Federal;2036;PSC
NERIA LUCIO BUZATTO;NÉRIA BUZATTO;Deputado Federal;4442;UNIÃO
IRINEU APARECIDO ORTOLANI;NEU;Deputado Federal;9020;PROS
NEUSA ANTONIA PERINO;NEUSINHA PERINO;Deputado Federal;9004;PROS
NEZIO ANTONIO MONTEIRO FILHO;NEZIO MONTEIRO;Deputado Federal;9000;PROS
NILSON BONOME;NILSON BONOME;Deputado Federal;4452;UNIÃO
NILSON ULLRICH;NILSON DA CHURRASCARIA;Deputado Federal;2078;PSC
NILTO IGNÁCIO TATTO;NILTO TATTO;Deputado Federal;1353;PT
NILZA MARIA DE JESUS NOGUEIRA;NILZA NOGUEIRA;Deputado Federal;9046;PROS
ORLANDO MENGATTI FILHO;NINO MENGATTI;Deputado Federal;4048;PSB
NOILTON SILVESTRE RAMOS;NOILTON RAMOS;Deputado Federal;5130;PATRIOTA
NORMA ELIZA HIROKO OTANI MORATO;NORMA OTANI;Deputado Federal;7001;AVANTE
NORMANDO COSTA DE ANDRADE FILHO;NORMANDY PANTERA NEGRA;Deputado Federal;4043;PSB
ADEMIR CREPALDI;O ATALAIA;Deputado Federal;2807;PRTB
WALTER JOSÉ DOS SANTOS;O WARTÃO;Deputado Federal;4025;PSB
ODECIO BRAGA DE LOUREDO FILHO;ODÉCIO BRAGA;Deputado Federal;4449;UNIÃO
ODILIA EXPEDITA DE SOUSA;ODILIA SOUSA;Deputado Federal;2016;PSC
ODILON VIANA DA SILVA;ODILON VIANA;Deputado Federal;2712;DC
GONZAGA MENDES DE OLIVEIRA;OLIVEIRA;Deputado Federal;3640;AGIR
ORLANDO GALATI;ORLANDO GALATI;Deputado Federal;1488;PTB
ORLANDO JOSE LIMA MOREIRA;ORLANDO MOREIRA;Deputado Federal;2093;PSC
ORLANDO SILVA DE JESUS JUNIOR;ORLANDO SILVA;Deputado Federal;6565;PC do B
ORLANDO VITORIANO DE OLIVEIRA;ORLANDO VITORIANO;Deputado Federal;1312;PT
OSMAR DELLA PASCHOA JUNIOR;OSMAR DELLA PASCHOA;Deputado Federal;3550;PMB
PABLO HENRIQUE COSTA MARÇAL;PABLO MARÇAL;Deputado Federal;9000;PROS
JOSÉ AFONSO LOBATO;PADRE AFONSO LOBATO;Deputado Federal;1951;PODE
AIRTON DOS SANTOS;PAI AIRTON;Deputado Federal;1128;PP
JOSÉ ANTONIO FERNANDES PAIVA;PAIVA;Deputado Federal;7734;SOLIDARIEDADE
SEBASTIAO FARIAS PAIVA;PAIVA FARIAS;Deputado Federal;1202;PDT
MARCELO ROBERTO PAOLILLO MARTINS;PAOLILLO;Deputado Federal;9028;PROS
PASCOAL SOUZA SILVA;PASCOAL SOUZA SILVA;Deputado Federal;1169;PP
ABRAÃO GONÇALVES;PASTOR ABRAAO;Deputado Federal;2803;PRTB
AMARO MACHADO SOARES NETO;PASTOR AMARO;Deputado Federal;3357;PMN
ANTÔNIO JOSÉ GERALDO;PASTOR GERALDO;Deputado Federal;2011;PSC
JOAQUIM TOMAZ DOS SANTOS;PASTOR JOAQUIM O CAMINHONEIRO;Deputado Federal;2006;PSC
JOSE RIBEIRO DE MELO;PASTOR JOSÉ RIBEIRO;Deputado Federal;9067;PROS
MARCEL DE JESUS GARCIA;PASTOR MARCEL;Deputado Federal;1523;MDB
MARCELO CANDIDO LOPES SIMÕES;PASTOR MARCELO CANDIDO;Deputado Federal;2077;PSC
MARCO ANTONIO FELICIANO;PASTOR MARCO FELICIANO;Deputado Federal;2270;PL
PAULO MARCIO LIMA DE OLIVEIRA;PASTOR PAULO LIMA;Deputado Federal;1504;MDB
PAULO MARCELO SCHALLENBERGER;PASTOR PAULO MARCELO;Deputado Federal;7713;SOLIDARIEDADE
RICARDO LIMA BRAGA SANTISTEVAN;PASTOR RICARDO BRAGA;Deputado Federal;1939;PODE
RICARDO DA SILVA SAIBRO;PASTOR RICARDO SAIBRO;Deputado Federal;4471;UNIÃO
ROBSON LIMA DE OLIVEIRA;PASTOR ROBSON OLIVEIRA;Deputado Federal;2057;PSC
RONALDO RESENDE DA SILVA;PASTOR RONALDO RESENDE;Deputado Federal;7031;AVANTE
ANA SILVIA GOES DE SOUZA;PASTORA ANA;Deputado Federal;2272;PL
MARIA APARECIDA DE SOUZA MARQUES;PASTORA CIDA TUTIA;Deputado Federal;3312;PMN
DAGMAR PEREIRA DE SOUZA MOITINHO DE LIMA CRUZ;PASTORA DAGMAR;Deputado Federal;3674;AGIR
PATRICIA SANT'ANA BORGES;PATRICIA BORGES;Deputado Federal;2201;PL
PATRÍCIA MARIA DA SILVA;PATRÍCIA DE SANTOS;Deputado Federal;5135;PATRIOTA
PATRÍCIA MORA D'AVILA;PATRÍCIA MORA;Deputado Federal;3328;PMN
PATRÍCIA SIMÕES VEDRANO;PATRICIA VEDRANO;Deputado Federal;4310;PV
PATRICIA SILVA ZANELLA;PATRICIA ZANELLA;Deputado Federal;1822;REDE
MARIA PAULA BARROS DE OLIVEIRA;PAULA BARROS;Deputado Federal;2727;DC
PAULA FURTADO BRUM;PAULA BRUM;Deputado Federal;1177;PP
ANA PAULA TOSIN;PAULA TOSIN;Deputado Federal;2079;PSC
PAULO APARECIDO SILVA CAYRES;PAULÃO CAYRES;Deputado Federal;1365;PT
ANA PAULA JOSÉ EMÍDIO DA SILVA;PAULINHA DA SAÚDE;Deputado Federal;2014;PSC
PAULO PEREIRA DA SILVA;PAULINHO DA FORÇA;Deputado Federal;7777;SOLIDARIEDADE
PAULO SERGIO SOARES DA SILVA;PAULINHO DO MERCADO;Deputado Federal;4405;UNIÃO
PAULO EDUARDO BRAZILINO;PAULINHO DO NOVO;Deputado Federal;3026;NOVO
PAULO ROBERTO AMARAL VIEIRA;PAULLO VIEIRA;Deputado Federal;1985;PODE
PAULO ROBERTO DE ABREU;PAULO ABREU;Deputado Federal;3344;PMN
PAULO ALEXANDRE PEREIRA BARBOSA;PAULO ALEXANDRE BARBOSA;Deputado Federal;4533;PSDB
PAULO ATAÍDE ARAÚJO DE SOUSA;PAULO ATAÍDE O RASTA;Deputado Federal;3320;PMN
PAULO BEZERRA DE MELO;PAULO BEZERRA;Deputado Federal;2969;PCO
PAULO ROBERTO DE CAMPOS;PAULO CAMPOS;Deputado Federal;1922;PODE
PAULO CEZAR DA SILVA MOURA;PAULO CEZAR ADVOGADO;Deputado Federal;7076;AVANTE
PAULO EDUARDO DE PAULA;PAULO EDUARDO;Deputado Federal;3664;AGIR
PAULO ROBERTO FREIRE DA COSTA;PAULO FREIRE DA COSTA;Deputado Federal;2233;PL
PAULO GUILHERMINO DE ARAUJO;PAULO GUILHERMINO;Deputado Federal;3588;PMB
PAULO FRANCISCO PERES LUCAS;PAULO LUCCAS;Deputado Federal;2066;PSC
PAULO PROIETI;PAULO PROIETI;Deputado Federal;3037;NOVO
PAULO ROMEIRO DE ALMEIDA SOARES;PAULO SOARES JORNALISTA;Deputado Federal;1915;PODE
LUIZ PAULO TEIXEIRA FERREIRA;PAULO TEIXEIRA;Deputado Federal;1398;PT
PEDRO MAURÍCIO PEREIRA;PEDRINHO DO GÁS;Deputado Federal;1213;PDT
PEDRO AUGUSTO LIA TEDDE;PEDRO TEDDE;Deputado Federal;3060;NOVO
PEDRO TOURINHO DE SIQUEIRA;PEDRO TOURINHO;Deputado Federal;1319;PT
PEDRO TADEU BATISTA;PEDRO VADER;Deputado Federal;5543;PSD
PEDRO LUIS VAZ DE LIMA MATTOS;PEDRO VAZ DE LIMA;Deputado Federal;3045;NOVO
JORGE LUIS LEPINSK;PEPO LEPINSK;Deputado Federal;1577;MDB
JOSÉ ADILSON PEREIRA DOS SANTOS;PEREIRINHA JOSÉ ADILSON;Deputado Federal;2090;PSC
CLAUDIO PERESSIM;PERESSIM;Deputado Federal;5156;PATRIOTA
JOSÉ RIBAMAR PIAUILINO DE SOUSA;PIAUILINO;Deputado Federal;4355;PV
DIENES PEREIRA DE SOUZA;PIERO;Deputado Federal;2811;PRTB
PIERPAOLO PAGANO;PIO PAGANO;Deputado Federal;1027;REPUBLICANOS
CRISTIANE IGNACIO ISIDORO BRAZ;POLICIAL CRISTIANE;Deputado Federal;2228;PL
EDJANE LIMA DE AZEVEDO;POLICIAL EDJANE;Deputado Federal;9090;PROS
KATIA DA SILVA SASTRE;POLICIAL KATIA SASTRE;Deputado Federal;2240;PL
RENATO ARAUJO DA CRUZ;POLICIAL PENAL RENATO CRUZ;Deputado Federal;7710;SOLIDARIEDADE
POLLYANA FATIMA GAMA SANTOS;POLLYANA GAMA;Deputado Federal;2351;CIDADANIA
JOSE EDSON DE ARAUJO JUNIOR;POP;Deputado Federal;2086;PSC
JOSÉ EDMILSON FERREIRA DOS SANTOS;PR EDMILSON SANTOS;Deputado Federal;7005;AVANTE
EMERSON APARECIDO DOS SANTOS;PR EMERSON SANTOS;Deputado Federal;1017;REPUBLICANOS
NIVALDO DOS SANTOS;PR NIVALDO DA PEDALADA;Deputado Federal;1089;REPUBLICANOS
PAULO PRADO LEITE;PR. PAULINHO ALELUIA;Deputado Federal;2083;PSC
CLAUDIA NERYS DE OLIVEIRA;PRA. CLÁUDIA NERYS;Deputado Federal;2046;PSC
ROSENILDA APARECIDA DA SILVA CRUZ;PRETA;Deputado Federal;4003;PSB
OSMAR BENEDITO PRIANTE;PRIANTE;Deputado Federal;1455;PTB
DOUGLAS VIEIRA PRIMO;PRIMO MAIS NOVO;Deputado Federal;3074;NOVO
PRISCILA FERNANDES HOLANDA;PRISCILA HOLANDA;Deputado Federal;2810;PRTB
PRISCILA SILVA SOUZA;PRISCILA SOUZA-MAND COLETIVO;Deputado Federal;1906;PODE
PRISCILLA ROBERTA GASPAR DE OLIVEIRA;PRISCILLA GASPAR;Deputado Federal;2005;PSC
ANA LUIZA HATIKIAN NEGRAO PASSOS;PROF ANA NEGRÃO;Deputado Federal;3044;NOVO
MARIA CONCEIÇÃO DE OLIVEIRA SOUZA BARCELETE;PROF CONCEIÇÃO;Deputado Federal;7095;AVANTE
ODAIR JOSÉ DE JESUS;PROF DE JIU JTSU ODAIR JESUS;Deputado Federal;7073;AVANTE
FÁTIMA MAGALHÃES DE OLIVEIRA;PROF FÁTIMA MAGALHÃES;Deputado Federal;7035;AVANTE
JACQUELINE MOREIRA DOS SANTOS ALMEIDA;PROF JACQUELINE PRÔJACQUE;Deputado Federal;7028;AVANTE
JOSÉ LUIZ SILVEIRA FILHO;PROF JOSÉ LUIZ SILVEIRA;Deputado Federal;2037;PSC
PAULA APARECIDA CARVALHO;PROF PAULA APARECIDA;Deputado Federal;5099;PSOL
RENATO BESCHIZZA VALENTIN;PROF RENATO;Deputado Federal;2122;PCB
RODNEY VICENTE DE SOUZA;PROF RODNEY VICENTE;Deputado Federal;1531;MDB
WAGNER BARBOSA;PROF WAGNER BARBOSA;Deputado Federal;7060;AVANTE
WALTER VICIONI GONÇALVES;PROF WALTER VICIONI;Deputado Federal;1510;MDB
REYNALDO CAMPANATTI PEREIRA;PROF. CAMPANATTI;Deputado Federal;3622;AGIR
JANDIRA DE MENEZES CREPALDI;PROF. JANDIRA;Deputado Federal;4475;UNIÃO
MARCO ANTONIO VILLA;PROF. MARCO ANTONIO VILLA;Deputado Federal;2300;CIDADANIA
PAULO RAMOS BORGES PINTO VIOLARO;PROF. PAULO BORGES (VIOLARO);Deputado Federal;3075;NOVO
JOSE DOMINGOS RIZZO;PROF. RIZZO;Deputado Federal;7785;SOLIDARIEDADE
ROMULO APARECIDO SENNA DE SOUZA;PROF. ROMULO SENNA;Deputado Federal;3667;AGIR
SANDERSON RIBEIRO CORREIA DE LIMA;PROF. SANDERSON RIBEIRO;Deputado Federal;2814;PRTB
LUCIANE SANDRA CAMBUIM;PROFª LUCIANE CAMBUIM;Deputado Federal;3624;AGIR
ADELINO FRANCISCO DE OLIVEIRA;PROFESSOR ADELINO;Deputado Federal;1315;PT
JOSE ANDRE FERNANDES;PROFESSOR ANDRÉ;Deputado Federal;3098;NOVO
ARMANDO BEGA;PROFESSOR BEGA;Deputado Federal;2245;PL
CLEITON FREITAS DE ARAUJO;PROFESSOR CLEITON;Deputado Federal;4005;PSB
DEIVERSON DIEGO AMARANTE;PROFESSOR DEIVERSON AMARANTE;Deputado Federal;9013;PROS
DOUGLAS MARTINS IZZO;PROFESSOR DOUGLAS IZZO;Deputado Federal;1308;PT
EDEVALDO DONIZETTI DE CAMPOS;PROFESSOR EDEVALDO;Deputado Federal;1807;REDE
FERNANDO ANTONIO MARCELO;PROFESSOR FERNANDO;Deputado Federal;7770;SOLIDARIEDADE
HENI OZI CUKIER;PROFESSOR HOC, HENI OZI CUKIER;Deputado Federal;1911;PODE
JEFFERSON RIPI DA SILVA;PROFESSOR JEFFERSON RIPI;Deputado Federal;9049;PROS
JUVENAL DE AGUIAR PENTEADO NETO;PROFESSOR JUVENAL;Deputado Federal;1347;PT
LEONARDO ALEX DOS SANTOS;PROFESSOR LEONARDO ALEX;Deputado Federal;1135;PP
LUCIANO DA SILVA;PROFESSOR LUCIANO SILVA;Deputado Federal;1909;PODE
LUZIMAR RODRIGUES DA SILVA;PROFESSOR LUZIMAR;Deputado Federal;4041;PSB
MARCOS APARECIDO VARGAS;PROFESSOR MARCOS VARGAS;Deputado Federal;1178;PP
OSVALDO MACEDO NEGRÃO;PROFESSOR OSVALDO;Deputado Federal;1452;PTB
REINALDO FRANCO DE SOUZA;PROFESSOR REINALDO;Deputado Federal;1332;PT
RICARDO URIZZI CARVALHO;PROFESSOR RICARDO CARVALHO;Deputado Federal;5090;PSOL
ROBERTO DE PAULA SOUZA;PROFESSOR ROBERTO DE PAULA;Deputado Federal;3638;AGIR
RONAN ALOISIO GOULART;PROFESSOR RONAN GOULART;Deputado Federal;7744;SOLIDARIEDADE
SILVIO NIVALDO;PROFESSOR SILVIO NIVALDO;Deputado Federal;7017;AVANTE
TIAGO DOS SANTOS LIRA;PROFESSOR TIAGO LIRA;Deputado Federal;5131;PATRIOTA
ANA ALICE FERNANDES DE ALMEIDA;PROFESSORA ANA ALICE;Deputado Federal;1918;PODE
ELIANA BERTA FERNANDES CORRAL;PROFESSORA BERTA;Deputado Federal;2279;PL
CATIA NUNES DE ABREU;PROFESSORA CATIA ABREU;Deputado Federal;2262;PL
DAISE MARIA PEREIRA SILVA;PROFESSORA DAISE;Deputado Federal;1424;PTB
GABRIELA GUERRERO ARIONE;PROFESSORA GRABRIELA;Deputado Federal;1602;PSTU
